region,altitud_msnm,marca,tipo_vehiculo,año_fabricacion,antiguedad_años,kilometraje,ultimo_mantenimiento_dias,calidad_combustible,octanaje_estimado,contaminacion_agua_ppm,temperatura_motor_c,nivel_aceite,presion_neumaticos_psi,bateria_voltaje,estado_frenos,filtro_aire,tipo_via,condicion_via,temperatura_ambiente_c,falla_vehiculo
La Paz,3538.0,Nissan,Pickup,1987.0,38.0,522541.0,83.0,Degradada,78.6,88.2,106.3,Muy Bajo,33.1,11.25,Bueno,Sucio,Camino de Tierra,Regular,15.0,1
Cochabamba,2586.0,Nissan,Camión,,29.0,385312.0,284.0,Normal,88.5,6.6,107.4,bajo,27.9,11.95,Regular,Sucio,Ruta Interdepartamental,Mala,13.0,0
Cobija,,,Sedán,2002.0,23.0,312789.0,36.0,Normal,84.6,0.0,63.2,Óptimo,34.9,,Desgastado,Obstruido,Camino de Tierra,Muy Mala,33.2,0
Santa Cruz,287.0,Toyota,Sedán,1994.0,,461916.0,209.0,Contaminada,80.3,74.8,87.2,Óptimo,28.8,11.29,Desgastado,Sucio,Carretera Pavimentada,Mala,20.0,1
Tarija,2172.0,Mazda,Sedán,,19.0,264040.0,161.0,Normal,82.9,6.3,90.2,Óptimo,35.2,11.97,Crítico,Obstruido,Carretera Pavimentada,Buena,11.3,1
Potosí,,Honda,Minibús,2014.0,11.0,109158.0,1.0,Normal,79.1,3.3,114.4,,31.3,,,Sucio,Carretera Pavimentada,Regular,5.3,0
,1851.0,Kia,Sedn,2008.0,17.0,234199.0,,,85.5,61.1,106.7,Bajo,33.1,,Desgastado,Sucio,Urbana,Muy Mala,20.6,0
Cochabamba,2513.0,Kia,Camión,,21.0,278717.0,163.0,Norml,,6.0,108.3,Óptimo,25.4,13.29,Regular,,Urbana,Regular,,0
Cochabamba,2454.0,Honda,MiniBus,1999.0,26.0,406818.0,22.0,Degragada,79.7,50.7,99.6,OPTIMO,23.2,13.14,Regular,Limpio,Urbana,Regular,8.7,1
La Paz,3630.0,Kia,Sedán,1992.0,33.0,470411.0,98.0,Contaminada,79.8,92.4,119.2,Óptimo,33.7,11.94,Desgastado,Sucio,Camino de Tierra,Mala,5.3,1
Santa Cruz,205.0,Mitsubishi,Camión,1997.0,28.0,313067.0,47.0,Normal,85.8,6.7,82.5,Bajo,41.2,12.12,Critico,Sucio,Ruta Interdepartamental,BUENA,16.2,1
Cochabamba,2547.0,Toyota,Sedán,1993.0,32.0,309893.0,154.0,NORML,87.8,5.5,95.7,Bajo,27.5,12.05,Regular,Sucio,Ruta Interdepartamental,,8.8,0
La Paz,3865.0,Toyota,SUV,2017.0,8.0,92082.0,100.0,Normal,,2.2,120.8,BAJO,40.2,11.7,Desgastado,Limpio,Camino de Tierra,Mala,10.5,1
Cochabamba,2466.0,Hyundai,Camioneta 4x4,2016.0,9.0,123591.0,126.0,,72.2,,97.2,Bajo,33.5,,Desgastado,obstruido,Urbana,Mala,8.9,1
Cochabamba,2522.0,Mitsubishi,Camioneta 4x4,1989.0,36.0,363490.0,9.0,Normal,90.9,10.0,,Óptimo,28.9,11.23,Desgastado,Obstruido,Camino de Tierra,Mala,,1
Santa Cruz,161.0,Chevrolete,sedan,2011.0,14.0,184687.0,19.0,Normal,89.1,,,Bajo,29.6,10.91,Desgastado,,Camino de Tierra,Mala,26.4,0
Santa Cruz,472.0,Toyota,Pickup,2006.0,19.0,279579.0,104.0,Normal,84.3,3.9,93.2,Óptimo,33.5,12.08,Bueno,SUCIO,Carretera Pavimentada,Muy Mala,,0
Santa Cruz,456.0,Onda,Minibús,2021.0,4.0,39820.0,25.0,Contaminada,75.7,103.6,102.5,Muy Bajo,38.8,12.31,Regular,Obstruido,Urbana,Buena,14.2,0
La Paz,3650.0,Honda,Camioneta 4x4,1997.0,28.0,377926.0,89.0,Normal,86.9,5.0,117.7,OPTIMO,33.7,13.1,Desgastado,Limpio,Carretera Pavimentada,Mala,-0.1,1
Cochabamba,2525.0,Honda,SEDAN,2007.0,18.0,150421.0,152.0,NORML,86.9,5.9,96.3,Óptimo,31.1,11.68,Bueno ,Sucio,Carretera Pavimentada,Mala,16.5,0
Cochabamba,2514.0,Honda,Camión,1999.0,26.0,,215.0,NORMAL,88.0,1.0,81.8,,33.1,11.83,Desgastado,Sucio,Camino de Tierra,Buena,18.6,1
La Paz,3715.0,NISAN,Camioneta 4x4,1986.0,39.0,361023.0,20.0,Degradada,83.7,43.1,92.3,Óptimo,26.1,11.47,Crítico,Obstruido,Urbana,Regular,18.0,1
Oruro,3702.0,Hyundai,,1986.0,39.0,512439.0,176.0,Normal,84.1,0.0,98.6,muy bajo,27.9,11.31,Bueno,Obstruído,Camino de Tierra,Muy Mala,10.6,1
Santa Cruz,463.0,Nissan,,1988.0,37.0,588591.0,58.0,Contaminada,,119.3,99.6,Óptimo,32.8,11.15,,Limpio,Carretera Pavimentada,Regular,18.8,1
La Paz,3672.0,Ford,Camión,1993.0,32.0,464263.0,147.0,Normal,90.7,,93.1,Óptimo,32.2,11.38,REGULAR,Limpio,Urbana,Regular,13.5,0
Sucre,2979.0,Chevrolet,Pick Up,1992.0,33.0,353351.0,20.0,Normal,85.1,1.1,106.0,Óptimo,31.0,12.01,,Limpio,Carretera Pavimentada,Regular,18.0,1
La Paz,3742.0,Honda,Sedán,2007.0,18.0,,94.0,Normal,92.3,4.6,104.2,Bajo,32.1,,Regular,Limpio,Urbana,Muy Mala,-2.1,1
La Paz,,Ford,Camioneta 4x4,2006.0,19.0,263169.0,236.0,Normal,86.5,,95.1,Muy Bajo,30.2,13.72,Crítico,Sucio,Camino de Tierra,Buena,14.4,0
Oruro,3934.0,Mitsubishi,Camioneta 4x4,2021.0,4.0,32898.0,-435.9086259500335,Normal,,,76.9,Bajo,25.5,12.32,Bueno,Limpio,,Mala,-1.0,0
Cobija,353.0,HONDA,Sedán,,32.0,462496.0,,,85.6,,99.0,Bajo,26.6,13.55,Regular,Sucio,Camino de Tierra,Regular,16.0,0
Santa Cruz,612.0,Mitusbishi,Pickup,2017.0,8.0,73952.0,78.0,Normal,89.5,1.0,,Óptimo,34.2,,Regular,Obstruido,Urbana,Mala,18.4,0
Trinidad,328.0,Ford,SEDÁN,2002.0,23.0,264972.0,225.0,CONTAMINADA,69.8,91.0,101.9,Bajo,39.4,10.8,Bueno,Sucio,Urbana,,24.2,1
Cochabamba,2282.0,Honda,S.U.V,1998.0,27.0,309987.0,413.0,Contaminada,72.8,124.9,123.7,Bajo,33.3,12.32,Crítico,Limpio,Ruta Interdepartamental,,15.2,1
La Paz,3836.0,Toyota,SUV,2004.0,21.0,307827.0,,Normal,79.1,6.2,101.6,Óptimo,26.6,11.64,Regular,limpio,Carretera Pavimentada,,12.6,0
Sucre,2830.0,Hyundai,,2006.0,19.0,189272.0,145.0,,,,92.1,Bajo,36.3,11.52,,sucio,Urbana,Regular,11.2,0
,2550.0,Hyundai,Sedán,1989.0,36.0,401907.0,34.0,Normal,85.3,9.0,117.9,Óptimo,31.4,10.61,Desgastado,scuio,,Regular,6.5,1
Santa Cruz,458.0,kia,Sedán,2008.0,17.0,213301.0,18.0,Contaminada,62.5,141.9,88.1,Bjo,34.8,11.94,Regular,Limpio,Carretera Pavimentada,,8.2,0
La Paz,3588.0,Mitsubishi,Sedán,2007.0,18.0,225013.0,128.0,normal,89.3,10.9,103.5,Óptimo,31.6,13.05,Regular,Sucio,Carretera Pavimentada,Muy Mala,12.6,1
Cochabamba,2592.0,Mazda,Camioneta 4x4,2023.0,2.0,35548.0,14.0,,85.8,4.6,103.5,Muy bajo,36.5,12.58,regular,Sucio,Camino de Tierra,Muy Mala,6.3,1
La Paz,3551.0,Toyota,Camioneta 4x4,2016.0,9.0,97429.0,81.0,Normal,81.5,1.9,89.4,Óptimo,35.1,,Bueno,Limpio,Camino de Tierra,Regular,14.2,0
Potosí,4158.0,Suzuki,Minibús,2005.0,20.0,187286.0,131.0,Degradada,82.4,42.2,120.4,Muy Bajo,24.8,11.89,Crítico,Obstruido,Ruta Interdepartamental,Regular,8.7,1
Santa Cruz,399.0,,SUV,2076.0,19.0,,90.0,Degragada,84.4,15149.769760483978,105.1,Óptimo,35.3,13.13,Desgastado,Obstruido,Carretera Pavimentada,Muy Mala,17.6,0
Cochabamba,2501.0,Mazda,Camioneta 4x4,2018.0,7.0,65354.0,155.0,Normal,86.6,,122.8,Óptimo,31.7,12.21,Regular,Limpio,Carretera Pavimentada,Regular,10.0,0
Cochabamba,2419.0,Mitsubishi,Sedán,2020.0,,,210.0,Normal,82.5,7.5,102.4,Bajo,30.5,11.75,Bueno,Sucio,Carretera Pavimentada,Buena,11.3,0
Cochabamba,2598.0,Nissan,SUV,2011.0,14.0,,267.0,Degradada,72.5,29.6,93.0,Muy Bajo,34.4,12.05,Regular,Limpio,Urbana,Regualr,6.2,1
Cochabamba,,Ford,Camioneta 4x4,2008.0,17.0,,106.0,Normal,83.3,3.9,82.7,Bajo,33.5,12.25,Regular,Sucio,Camino de Tierra,Mala,26.2,1
Santa Cruz,474.0,Kia,Camioneta 4x4,1988.0,37.0,411843.0,42.0,NORMAL,84.5,3.5,95.5,Óptimo,28.2,11.4,Regular,Sucio,,muy mala,27.5,1
Santa Cruz,262.0,Nissan,SUV,2011.0,14.0,203207.0,,Normal,,2.2,91.7,ÓPTIMO,,10.67,Regular,Limpio,Camino de Tierra,Regular,20.7,0
Trinidad,0.0,Toyota,pickup,1992.0,33.0,507873.0,-376.8735130747781,Normal,86.4,7.3,107.3,Óptimo,23.7,11.63,regular,Sucio,Ruta Interdepartamental,Muy mala,7.4,1
Santa Cruz,510.0,Nissan,Pickup,2001.0,24.0,367539.0,33.0,Normal,83.2,9.3,90.2,,35.5,,Regular,Limpio,Ruta Interdepartamental,Mala,19.5,0
Potosí,4190.0,Mazda,Sedán,1996.0,29.0,385891.0,97.0,Normal,85.2,,94.7,Óptimo,33.2,11.55,Regular,Sucio,Carretera Pavimentada,Regular,8.4,1
Santa Cruz,262.0,suzuki,Minibús,1994.0,31.0,499120.0,2.0,Normal,90.2,5.1,71.1,Óptimo,33.6,11.52,regular,Limpio,Urbana,Muy Mala,21.0,1
Cochabamba,2796.0,Mitsubishi,Sedán,1993.0,32.0,437886.0,120.0,Normal,88.7,0.5,98.6,,28.8,12.47,Regular,Limpio,Carretera Pavimentada,Muy Mala,20.5,1
Oruro,3749.0,Chevrolet,Pickup,2013.0,12.0,122906.0,224.0,Normal,87.1,5.4,91.5,Bajo,46.6,12.79,,Limpio,Carretera Pavimentada,Mala,5.7,0
Santa Cruz,415.0,Kia,Sedán,2008.0,17.0,261162.0,730.0,Contaminada,71.2,138.8,86.5,Muy bajo,36.5,11.93,Desgastado,Limpo,Urbana,Mala,13.7,1
La Paz,3580.0,Nissan,Sedán,1999.0,26.0,318590.0,331.0,Normal,87.0,4.7,98.8,Bajo,30.2,11.65,Crítico,Sucio,Urbana,MUY MALA,16.3,1
Santa Cruz,208.0,Mitsubishi,SUV,2004.0,21.0,217500.0,12.0,Normal,,9.0,92.4,Óptimo,34.1,0.0,Regular,Obstruido,Camino de Tierra,Regular,25.6,1
Cochabamba,2706.0,Hyundai,Pickup,2022.0,3.0,37004.0,23.0,Normal,86.4,4.4,85.0,Óptimo,33.8,,Bueno,Sucio,Camino de Tierra,Regular,12.6,0
Tarija,1750.0,Mazda,Camión,1996.0,29.0,400518.0,19.0,Degradada,80.4,36.0,88.3,Óptimo,33.2,11.67,Desgastado,Limpio,Camino de Tierra,Regular,23.4,0
Tarija,1749.0,,Sedán,2000.0,25.0,380334.0,106.0,Degradada,78.8,59.8,113.4,Bajo,14.6,13.28,Crítico,Obstruido,Carretera Pavimentada,Mala,0.1,1
Santa Cruz,565.0,Chevrolet,Camioneta 4x4,1999.0,26.0,390986.0,6.0,Degradada,76.6,58.0,89.7,Muy Bajo,32.6,12.42,Desgastado,Limpio,Carretera Pavimentada,buena,19.7,1
Tarija,1584.0,Mitsubisi,SUV,2017.0,,102513.0,359.0,normal,86.2,9.5,102.0,Bajo,36.2,13.14,,Limpio,Urbana,Buena,16.0,1
Tarija,1637.0,Mitsubishi,Minibús,1994.0,31.0,338550.0,8.0,Normal,,6.6,91.8,Óptimo,28.7,11.23,Desgastado,Sucio,,Regular,23.1,1
La Paz,3637.0,Chevrolet,Sedán,2022.0,3.0,35926.0,64.0,Normal,84.8,2.6,95.5,,23.5,12.71,Bueno,Limpio,Urbana,Muy Mala,1.5,1
Cochabamba,2602.0,Onda,Sedán,1993.0,32.0,,291.0,Normal,88.3,0.0,111.6,Bajo,28.5,11.89,,Sucio,Carretera Pavimentada,Regular,19.4,1
La Paz,3713.0,Mazda,SUV,1988.0,37.0,364667.0,385.0,Normal,89.5,,96.7,Bajo,31.7,11.39,Bueno,Sucio,Urbana,Regular,4.5,1
Santa Cruz,371.0,Kia ,,1990.0,35.0,343929.0,81.0,DEGRADADA,81.4,36.3,103.9,optimo,39.9,11.53,CRÍTICO,Sucio,Carretera Pavimentada,Buena,15.9,0
Cochabamba,2938.0,Mazda,Camión,1996.0,29.0,290910.0,87.0,Normal,85.3,9.0,107.0,optimo,32.2,10.51,regular,Sucio,Urbana,Mala,5.1,1
Santa Cruz,382.0,Honda,Camioneta 4x4,,21.0,278032.0,131.0,Normal,87.3,8.7,87.1,Bajo,28.3,12.92,Regular,Limpio,Ruta Interdepartamental,Mala,7.6,0
La Paz,3605.0,Ford,Minibús,1999.0,26.0,247496.0,68.0,Normal,87.5,3.8,87.6,Bajo,,10.8,DESGASTADO,Limpo,Camino de Tierra,Mala,14.1,1
La Paz,3520.0,Mazda,Pickup,1995.0,30.0,303650.0,51.0,Normal,87.6,7.4,111.0,Óptimo,,11.97,CRÍTICO,Limpio,Carretera Pavimentada,Regular,6.1,1
Santa Cruz,435.0,Chevrolet,Camioneta 4x4,2000.0,25.0,313376.0,24078.443671014953,Normal,91.5,0.9,,Bajo,24.3,,Regular,Limpio,Carretera Pavimentada,Mala,10.9,0
La Paz,3732.0,Suzuki,Camión,2012.0,13.0,114315.0,117.0,Normal,83.5,8.7,96.6,bajo,27.3,13.12,Bueno,Limpio,Carretera Pavimentada,Regular,2.5,1
La Paz,3821.0,Mazda,Sedán,2012.0,13.0,147234.0,85.0,Contaminada,73.0,111.6,93.8,Óptimo,,13.4,desgastado,Obstruído,Carretera Pavimentada,Mala,7.4,1
La Paz,3417.0,Nisan,Sedán,2007.0,18.0,0.0,,Degradada,78.4,54.7,79.2,Óptimo,26.9,12.6,Desgastado,Obstruido,Urbana,Regular,12.1,0
Trinidad,200.0,Suzuki,S.U.V,2019.0,6.0,94156.0,9.0,Contaminada,65.8,136.1,89.5,bajo,36.1,12.62,Bueno,Limpio,,Mala,28.4,1
Santa Cruz,483.0,Kia,SUV,,23.0,256171.0,92.0,Contaminada,65.7,,67.1,muy_bajo,40.4,13.13,Desgastado,Limpio,Carretera Pavimentada,Mala,3.1,1
Cochabamba,2646.0,Chevroled,Camión,1985.0,40.0,607835.0,125.0,Degradada,83.5,27.0,107.9,,38.1,11.41,Desgastado,Limpio,Camino de Tierra,Regular,10.2,1
Potosí,3968.0,Ford,Sedán,1993.0,32.0,352623.0,139.0,Degradada,74.4,36.2,110.9,Bajo,28.7,11.42,Crítico,Sucio,Camino de Tierra,Buena,10.3,1
Potosí,4048.0,Hyundai,camioneta 4x4,1994.0,31.0,404968.0,292.0,Normal,87.9,8.2,101.9,Bajo,25.0,11.92,,Sucio,Carretera Pavimentada,Regular,4.9,1
Santa Cruz,295.0,Suzuki,Pickup,2000.0,,,220.0,NORMAL,87.4,6.5,,Muy Bajo,20.1,11.43,Bueno,Limpio,Camino de Tierra,,26.3,0
Tarija,2100.0,Honda,Camioneta 4x4,,10.0,138085.0,19.0,Degradada,76.6,,101.7,Bajo,29.1,11.77,Regular,Limpio,Camino de Tierra,Regular,10.9,1
La Paz,3789.0,Suzuki,SUV,2012.0,13.0,152219.0,205.0,Normal,89.5,6.1,55.8,Bajo,20.7,12.55,Bueno,Limpio,Carretera Pavimentada,regular,7.9,0
La Paz,3438.0,Hyundai,Camioneta 4x4,1991.0,34.0,359520.0,146.0,Degradada,75.3,,101.7,Óptimo,33.0,11.78,Regular,Sucio,,,1.9,0
La Paz,3479.0,MAZDA,Pickup,1999.0,26.0,348389.0,228.0,Degradada,77.8,,116.5,Bajo,38.9,,DESGASTADO,Sucio,Urbana,Muy Mala,12.6,1
Tarija,1709.0,Nissan,,2004.0,21.0,287724.0,240.0,Normal,83.7,,99.0,bajo,32.8,12.14,Regular,Obstruido,Carretera Pavimentada,Buena,12.6,1
Santa Cruz,518.0,Honda,Sedan,2022.0,3.0,36322.0,55.0,Degradada,83.1,43.6,276.92564973525253,Óptimo,28.5,12.71,Bueno,sucio,Urbana,Buena,24.4,0
Oruro,3513.0,hyundai,SUV,1985.0,,563805.0,,Normal,90.6,1.4,88.5,optimo,37.5,11.33,Desgastado,sucio,Urbana,Mala,3.6,1
La Paz,3590.0,Hyundai,Sedán,1997.0,28.0,335775.0,,Degradada,334.27595088337796,58.4,131.2,,28.2,12.33,CRITICO,,Camino de Tierra,Mala,10.5,1
La Paz,3708.0,Nissan,Sedán,2022.0,3.0,37823.0,46.0,CONTAMINADA,84.7,98.7,93.8,OPTIMO,29.3,12.36,Bueno,Sucio,,Regular,11.4,0
Trinidad,227.0,,camioneta4x4,2021.0,4.0,58261.0,,Normal,,4.9,86.6,Óptimo,30.3,,bueno,Sucio,Camino de Tierra,mla,21.7,0
Potosí,4006.0,suzuki,Minibús,,31.0,323686.0,-355.5177797708546,Normal,88.9,6.3,96.8,Optimo,26.8,12.03,Desgastado,Limpio,Ruta Interdepartamental,Regular,10.9,0
Santa Cruz,256.0,Mazda,Camioneta 4x4,1985.0,40.0,592699.0,617.0,Degradada,84.0,72.7,82.3,Óptimo,30.8,10.38,Regular,OBSTRUIDO,Ruta Interdepartamental,Muy Mala,30.1,1
Tarija,1955.0,Suzuki,Minibús,2001.0,24.0,360229.0,48.0,Normal,85.0,6.8,66.5,Óptimo,36.5,12.44,,Sucio,,Mala,-7.0,1
Cochabamba,2466.0,Chevroled,Sedán,2013.0,12.0,185591.0,196.0,Normal,88.2,4.1,89.2,Óptimo,31.2,12.7,Bueno,Obstruido,Ruta Interdepartamental,Regular,11.3,0
La Paz,3591.0,Honda,Sedán,1994.0,31.0,398275.0,648.0,Normal,84.1,2.0,100.8,Muy Bajo,24.3,11.08,,Obstruido,Carretera Pavimentada,Mala,,1
La Paz,3676.0,,Minibús,2017.0,8.0,103202.0,452.0,Degradada,74.7,26.2,,Muy Bajo,31.8,12.05,Desgastado,Limpio,Urbana,Muy Mala,-0.2,1
Tarija,1881.0,Chevrolet,Minibús,1994.0,31.0,458372.0,130.0,Degradada,84.4,30.3,66.0,Bajo,,11.56,Regular,Obstruido,Camino de Tierra,Muy Mala,17.0,1
Santa Cruz,420.0,Hundai,Camión,2002.0,23.0,0.0,100.0,Degradada,76.6,,95.0,Óptimo,29.3,11.55,Bueno,Sucio,Carretera Pavimentada,Mala,22.4,1
Tarija,1753.0,Ford,Minibús,2007.0,18.0,281306.0,48.0,contaminada,,156.2,94.8,,30.4,,Bueno,Obstruido,Carretera Pavimentada,,28.3,0
Sucre,2765.0,Mitsubishi,Pickup,1994.0,31.0,339068.0,257.0,Normal,91.9,4.6,117.4,Óptimo,37.0,12.39,Desgastado,Sucio,Camino de Tierra,Muy Mala,18.5,1
La Paz,3640.0,Suzuki,Camioneta 4x4,1994.0,31.0,298974.0,53.0,Contaminada,62.9,103.2,100.4,Óptimo,29.6,12.24,Crítico,Limpio,Carretera Pavimentada,MUY MALA,1.7,1
Trinidad,31.0,Hyundai,Sedán,1998.0,,292559.0,14.0,Degragada,82.6,46.7,68.2,,32.7,12.58,bueno,Obstruido,Camino de Tierra,buena ,5.9,0
Santa Cruz,347.0,Nissan,Minibús,2011.0,14.0,167408.0,45.0,Degradada,79.9,,106.0,Óptimo,32.2,,,Sucio,Camino de Tierra,Buena,18.9,1
Potosí,4025.0,Masda,CAMION,1987.0,38.0,347395.0,49.0,DEGRADADA,79.7,33.7,119.8,ÓPTIMO,23.2,12.56,Regular,Limpio,Camino de Tierra,Regular,9.4,0
Cobija,98.0,Mitsubishi,Minibús,2003.0,22.0,207625.0,164.0,Normal,87.2,6.4,74.4,Óptimo,25.3,11.02,Desgastado,limpio,Carretera Pavimentada,Mala,17.7,0
Tarija,2039.0,Toyota,Camión,2005.0,20.0,259356.0,24.0,Normal,87.1,3.9,102.5,Óptimo,30.4,12.39,Crítico,Obstruido,Camino de Tierra,Mala,12.0,0
Sucre,3000.0,Honda,camioneta4x4,2000.0,25.0,282463.0,49.0,Contaminada,74.6,126.0,116.6,Optimo,34.3,12.69,Regular,Sucio,Urbana,Mala,9.7,1
Santa Cruz,229.0,Mitsubishi,Sedán,2017.0,8.0,133934.0,10.0,Normal,,6.9,109.4,,39.6,11.69,,Limpio,Camino de Tierra,,12.1,0
Santa Cruz,620.0,Chevrolet,Camión,2002.0,23.0,250838.0,245.0,Normal,88.5,9.1,108.6,Muy Bajo,23.2,11.74,Bueno,Limpo,Ruta Interdepartamental,Muy Mala,20.1,1
Tarija,1844.0,Mazda,,2003.0,,235765.0,167.0,Normal,83.6,,99.5,MUY BAJO,23.7,11.12,Regular,Sucio,Urbana,Regular,8.8,1
La Paz,3703.0,Hyundai,Camioneta 4x4,2002.0,23.0,212698.0,74.0,Degradada,88.4,62.0,,Óptimo,30.6,12.58,Bueno ,Obstruido,Ruta Interdepartamental,Buena,15.2,0
Potosí,3893.0,Mazda,Camioneta 4x4,2007.0,18.0,234888.0,73.0,Contaminada,71.5,,93.9,Óptimo,34.0,11.53,Bueno ,Sucio,Carretera Pavimentada,Mala,10.6,0
Santa Cruz,554.0,Hyundai,,1988.0,37.0,431593.0,,Normal,87.5,1.1,86.4,Óptimo,26.4,11.76,Regular,Limpio,Ruta Interdepartamental,Mala,9.2,0
Oruro,3767.0,Nissan,Minibús,2015.0,10.0,116397.0,63.0,,92.3,,84.4,Óptimo,32.8,11.98,Bueno,,Ruta Interdepartamental,regular,2.8,0
Cochabamba,2436.0,Mazda,Sedán,1986.0,39.0,474424.0,308.0,Normal,84.7,12.0,,Bajo,35.3,11.06,Regular,Limpio,Camino de Tierra,,-0.4,1
Cochabamba,2383.0,Kia,Pickup,2003.0,22.0,318607.0,19.0,Contaminada,71.9,116.6,-49.43746291709929,Óptimo,35.1,11.84,Bueno,Sucio,Carretera Pavimentada,Muy Mala,23.2,1
Cochabamba,2339.0,Chevrolet,Camión,2002.0,,,188.0,Normal,82.8,4.1,92.4,optimo,42.2,12.26,Desgastado,Obstruido,Ruta Interdepartamental,Mala,3.2,0
Tarija,1894.0,Toyota,Camioneta 4x4,1990.0,35.0,,6.0,Normal,84.1,4.0,95.9,Óptimo,28.0,11.87,Bueno,,Urbana,MALA,7.8,0
Trinidad,323.0,NISSAN,Sedán,1986.0,39.0,400291.0,48.0,Normal,,,,Óptimo,19.2,10.8,Desgastado,Obstruido,Urbana,Mala,18.7,1
Oruro,3804.0,Ford,Sedán,9999.0,37.0,392818.0,243.0,Contaminada,76.0,78.7,111.7,Bajo,27.5,12.03,Regular,obstruido,Ruta Interdepartamental,REGULAR,22.9,1
La Paz,3622.0,Toyota,Camión,1992.0,33.0,353069.0,76.0,Normal,,0.0,78.4,Bajo,36.0,12.08,Desgastado,Sucio,Urbana,Buena,9.7,1
La Paz,3466.0,Nissan,Camioneta 4x4,2014.0,11.0,140784.0,157.0,Contaminada,69.8,96.8,128.4,Muy Bajo,36.7,13.03,REGULAR,Sucio,Camino de Tierra,Regular,6.1,1
Santa Cruz,314.0,mazda,Camioneta 4x4,,12.0,141690.0,,Normal,85.5,3.9,103.9,Óptimo,,11.48,Bueno,Obstruido,Ruta Interdepartamental,Mala,20.5,0
Tarija,2039.0,Ford,Camioneta 4x4,1986.0,39.0,589032.0,149.0,Normal,89.9,6.7,,ÓPTIMO,38.4,12.45,crítico,Sucio,Camino de Tierra,Regualr,6.7,1
Potosí,3894.0,Toyota,Minibús,1993.0,32.0,491485.0,222.0,Normal,87.0,3.9,102.9,MUY BAJO,23.1,11.3,Desgastado,Obstruido,Camino de Tierra,Regular,-5.2,1
Santa Cruz,438.0,Ford,Camión,2015.0,10.0,125663.0,212.0,Normal,84.4,5.4,89.1,Bajo,29.2,11.3,Desgastado,scuio,Ruta Interdepartamental,Mala,37.0,0
Santa Cruz,255.0,Mitsubishi,Minibús,1991.0,34.0,375875.0,,Normal,90.2,1.5,80.5,Óptimo,33.7,12.24,CRITICO,obstruido,Urbana,mala,16.1,1
Santa Cruz,466.0,Nissan,SUV,2023.0,2.0,29222.0,304.0,Degradad,,19.3,85.0,Óptimo,29.1,12.89,Bueno,Limpio,Urbana,muy mala,14.7,0
Santa Cruz,347.0,Hyundai,Sedán,1992.0,33.0,479802.0,111.0,Normal,,6.0,81.0,muy bajo,33.6,12.45,Regular,Limpio,Camino de Tierra,Mala,22.8,1
Oruro,3863.0,ford,Minibús,2007.0,18.0,257120.0,,Contaminada,,139.5,,Muy Bajo,28.9,11.57,Bueno,obstruido,Camino de Tierra,Buena,-2.4,1
Santa Cruz,532.0,Toyota,Sedán,1996.0,29.0,272301.0,31.0,Normal,93.2,7.9,73.2,Muy Bajo,31.9,11.37,Regular,Limpio,Ruta Interdepartamental,Regular,19.3,1
Cochabamba,2484.0,Suzuki,Minibús,1988.0,37.0,520690.0,30.0,Degradada,79.2,63.1,91.8,Óptimo,24.5,11.37,Desgastado,Limpio,Urbana,Regular,3.7,1
Santa Cruz,52136.18722129119,Kia,Minibús,1992.0,33.0,496216.0,,Degradada,72.0,,81.4,Muy Bajo,38.9,11.74,Crítico,Sucio,Ruta Interdepartamental,Muy Mala,18.2,1
Santa Cruz,333.0,Suzuki,Sedán,2005.0,20.0,257911.0,135.0,Normal,86.3,7.1,112.7,Bajo,,12.69,Regular,Sucio,Urbana,Regualr,12.5,1
Santa Cruz,203.0,Mitsubishi,Camioneta 4x4,1994.0,31.0,,146.0,,,,102.0,Óptimo,29.4,11.16,Desgastado,Obstruido,Urbana,Mala,18.3,1
Tarija,1737.0,Toyota,SUV,2002.0,23.0,337106.0,35.0,Normal,88.4,5.8,101.8,Bajo,33.5,,BUENO,Limpio,Carretera Pavimentada,Mala,3.5,1
La Paz,3670.0,Chevrolet,Sedán,1990.0,35.0,436802.0,66.0,Normal,,4.0,115.8,Óptimo,24.4,12.0,Desgastado,Sucio,Camino de Tierra,Mala,2.2,1
Sucre,2859.0,Onda,Camioneta 4x4,1997.0,28.0,,38.0,Degradada,77.7,41.6,100.0,Bajo,30.1,11.62,,Sucio,Carretera Pavimentada,Buena,10.8,0
Cobija,312.0,Mitsubishi,Pickup,,26.0,367439.0,9.0,Degradada,86.3,50.9,,Muy Bajo,24.9,12.52,Crítico,Sucio,Carretera Pavimentada,muy mala,19.8,1
Trinidad,192.0,Hyundai,Minibús,1996.0,29.0,,29.0,DEGRADADA,83.9,64.0,90.6,,27.2,12.76,Regular,Sucio,Urbana,Buena,18.3,1
La Paz,3780.0,Mazda,Camión,1990.0,,,693.0,Normal,87.4,7.3,97.3,Muy Bajo,30.7,12.58,,Sucio,Urbana,MALA,-3.0,1
La Paz,3650.0,Honda,SUV,1997.0,,355784.0,34.0,,84.9,5.0,110.1,Óptimo,33.4,11.83,Regular,Sucio,Camino de Tierra,Muy Mala,15.7,1
La Paz,3745.0,Ford,Sedán,1873.0,20.0,181604.0,22.0,Normal,92.8,5.3,112.5,Óptimo,28.4,12.44,Regular,Limpio,Urbana,Muy Mala,13.5,1
